Date, price
1585702799000,6319.6686901379
1585706398000,6301.1373270878
1585709999000,6327.4123655458
1585713599000,6380.2519310947
1585717200000,6355.7185456276
1585720799000,6315.3551619812
1585724400000,6315.1353735605
1585727999000,6343.2967038568
1585731599000,6321.430872836
1585735199000,6313.8547605022
1585738799000,6301.6687541342
1585742400000,6305.2559732675
1585746000000,6231.3858953006
1585749598000,6218.6110004044
1585753198000,6260.9481012499
1585756799000,6241.9007297779
1585760399000,6194.3668353932
1585764000000,6207.6983430727
1585767599000,6200.7916170084
1585771199000,6217.0218876779
1585774800000,6346.0979032724
1585778399000,6370.5700885926
1585781999000,6537.3364615033
1585785599000,6663.1714651284
1585789199000,6638.2000754671
1585792800000,6587.7257428923
1585796399000,6624.7192151228
1585799999000,6622.2483516981
1585803599000,6616.8618877377
1585807199000,6624.1742865598
1585810799000,6657.436778445
1585814399000,6661.5628157414
1585817999000,6670.7171856603
1585821599000,6658.7435275156
1585825200000,6663.3538036466
1585828799000,6698.9391010262
1585832399000,6672.5170110749
1585835999000,6657.6134161599
1585839599000,6789.141093668
1585843200000,6812.2368705786
1585846798000,6918.8407316729
1585850399000,7095.4874709366
1585853999000,6789.7301128085
1585857599000,6809.0172981062
1585861200000,6748.1013880059
1585864800000,6841.3033341083
1585868399000,6850.5587116906
1585871998000,6799.6487632999
1585875598000,6748.8366732941
1585879199000,6807.8235555523
1585882799000,6813.5150352829
1585886400000,6787.0807671437
1585889999000,6789.0466132725
1585893598000,6785.5637786017
1585897199000,6803.5171864919
1585900799000,6944.5464216673
1585904400000,6941.874030535
1585908000000,6970.6748292733
1585911599000,7023.2084648153
1585915199000,7016.5515618797
1585918798000,6924.6871782449
1585922399000,6842.5217705423
1585925999000,6793.3450549565
1585929599000,6721.7336984907
1585933199000,6756.887303808
1585936800000,6718.1864538699
1585940399000,6749.7392563344
1585943999000,6777.9127555009
1585947599000,6708.9929313337
1585951199000,6737.0200366213
1585954799000,6776.370093566
1585958399000,6747.1860224659
1585962000000,6763.4303215002
1585965599000,6768.4209502325
1585969200000,6696.5515005838
1585972799000,6709.8569177709
1585976399000,6729.5701594916
1585979999000,6741.0311169774
1585983599000,6739.3784747127
1585987200000,6744.7841102605
1585990798000,6792.5662602522
1585994399000,6854.2801875049
1585997999000,6893.9558705239
1586001599000,6711.7027393271
1586005200000,6725.0275336161
1586008800000,6740.9523182483
1586012399000,6727.2173211264
1586015999000,6744.0651731484
1586019598000,6798.1535928739
1586023199000,6793.1799144711
1586026799000,6792.7675705527
1586030400000,6761.2190494019
1586033999000,6843.9518134757
1586037599000,6875.6896514398
1586041199000,6855.9332644576
1586044799000,6873.7163933237
1586048399000,6873.874473408
1586051999000,6861.0796149036
1586055599000,6850.0448134255
1586059199000,6805.9020796246
1586062800000,6783.964133448
1586066399000,6798.2732878551
1586070000000,6786.6160163286
1586073599000,6786.5993630031
1586077199000,6790.3941176079
1586080798000,6778.6552368341
1586084399000,6761.4931873208
1586087999000,6785.8136645634
1586091599000,6796.5526118213
1586095200000,6806.6705798675
1586098800000,6781.658784375
1586102399000,6794.5461634942
1586105999000,6791.4078693588
1586109599000,6810.3605808814
1586113200000,6801.8528591265
1586116799000,6801.5599808832
1586120399000,6763.5371816708
1586123999000,6768.1707832246
1586127599000,6805.3622868989
1586131199000,6780.2378199999
1586134800000,6874.6111514557
1586138399000,6852.6278526525
1586141999000,6834.1143012517
1586145600000,6853.8830791756
1586149198000,6956.408643973
1586152799000,7002.7901434743
1586156399000,7091.0617180419
1586160000000,7042.9095540911
1586163599000,7051.0718748575
1586167199000,7122.2618423141
1586170799000,7091.7824372869
1586174399000,7114.1469928768
1586178000000,7146.1092651361
1586181600000,7116.984610227
1586185199000,7118.3288077826
1586188799000,7160.161326907
1586192398000,7162.9580534589
1586195999000,7223.7103764572
1586199599000,7256.9390299013
1586203200000,7282.356337082
1586206799000,7226.018748421
1586210398000,7302.3654489222
1586213999000,7278.2439697658
1586217599000,7342.7430902218
1586221200000,7382.4772598983
1586224799000,7351.7335262213
1586228398000,7314.9467869807
1586231998000,7331.4208379438
1586235599000,7260.7922119656
1586239199000,7291.917867767
1586242800000,7316.2476449228
1586246399000,7390.1718193758
1586249999000,7376.5370559043
1586253599000,7389.0373536321
1586257199000,7445.1121550135
1586260799000,7400.6092985781
1586264398000,7347.63340314
1586267999000,7362.5652250287
1586271599000,7292.9962958007
1586275200000,7325.8584130972
1586278800000,7376.1246869826
1586282400000,7358.6113042988
1586285999000,7311.1957804968
1586289598000,7294.0580072024
1586293199000,7126.6994542106
1586296799000,7182.327695661
1586300399000,7175.6674765579
1586303999000,7203.4638106784
1586307599000,7159.0234147611
1586311199000,7165.3111574824
1586314799000,7266.070405098
1586318400000,7353.8345122237
1586321999000,7362.0854173671
1586325599000,7418.4712848594
1586329199000,7325.7329364311
1586332799000,7330.2405847481
1586336399000,7299.127230849
1586339999000,7310.2086726905
1586343599000,7256.2115636852
1586347199000,7303.2215612311
1586350800000,7288.8518869903
1586354399000,7228.986486073
1586357999000,7278.1699732753
1586361599000,7288.7190120766
1586365199000,7334.1276760957
1586368800000,7314.6046647756
1586372399000,7327.414762302
1586375999000,7314.9567698291
1586379600000,7326.8022166686
1586383198000,7335.3986777737
1586386799000,7367.2933984502
1586390399000,7370.6080098368
1586394000000,7353.1370556216
1586397600000,7322.4603883485
1586401198000,7328.879407497
1586404799000,7294.0906083757
1586408398000,7299.6436336796
1586411999000,7323.3336315426
1586415599000,7326.5508190116
1586419200000,7338.6825375144
1586422800000,7349.0182725981
