Date,Price
1572566400000,9148.235799936
1572570000000,9140.2740776309
1572573599000,9102.9487062382
1572577199000,9130.7778633705
1572580799000,9070.5560555228
1572584399000,9086.8166939508
1572588000000,9092.6761877963
1572591599000,9129.3745409176
1572595200000,9109.7967705986
1572598799000,9145.3872762207
1572602400000,9112.359278904
1572606000000,9173.6038469963
1572609599000,9173.1857731384
1572613199000,9203.8702140632
1572616799000,9116.9035327422
1572620400000,9127.6039597209
1572623999000,9109.9834630853
1572627599000,9156.7172412853
1572631199000,9158.9021047771
1572634800000,9188.0750766024
1572638399000,9171.7442531035
1572641999000,9203.3419828354
1572645599000,9255.3914467745
1572649200000,9197.6323446207
1572652798000,9230.4737562644
1572656398000,9244.8389938115
1572659999000,9232.8739187177
1572663600000,9261.0383187662
1572667199000,9245.6199394339
1572670800000,9210.0639139897
1572674398000,9217.1715481317
1572677999000,9211.3388040477
1572681599000,9220.9310779539
1572685200000,9210.9508407201
1572688799000,9221.5865019883
1572692399000,9228.008453157
1572695999000,9253.3600935336
1572699599000,9329.8561537369
1572703199000,9358.0852289903
1572706799000,9321.48534754
1572710400000,9325.3839263124
1572713999000,9319.7459567942
1572717599000,9300.1729114942
1572721198000,9287.2478302206
1572724799000,9318.2142699491
1572728399000,9312.568111255
1572732000000,9286.4555020248
1572735599000,9290.8966023936
1572739199000,9298.2992730079
1572742799000,9304.4773779922
1572746400000,9317.6754525036
1572750000000,9360.3190390768
1572753599000,9335.6303265685
1572757199000,9275.5447046466
1572760799000,9264.2467372297
1572764399000,9274.6126289231
1572768000000,9237.8075457114
1572771599000,9227.9405792614
1572775200000,9232.3582001757
1572778799000,9156.9366835084
1572782400000,9172.3131914502
1572785998000,9164.20039744
1572789599000,9174.3694256097
1572793199000,9155.0646340135
1572796800000,9189.0197855334
1572800399000,9167.0640941941
1572803999000,9160.9835295493
1572807599000,9164.2420008953
1572811199000,9141.4603177111
1572814799000,9154.7409907581
1572818399000,9152.6416109728
1572821999000,9202.41545055
1572825599000,9203.8299036737
1572829200000,9169.5445048006
1572832799000,9160.3949199349
1572836398000,9165.3552443402
1572839999000,9148.2513477397
1572843599000,9136.2848151632
1572847200000,9143.2504265203
1572850799000,9153.8007952635
1572854399000,9184.0039982946
1572858000000,9154.5246531034
1572861599000,9176.5610054151
1572865200000,9201.6245641495
1572868799000,9258.9706109746
1572872399000,9237.7238600452
1572876000000,9244.9144310232
1572879599000,9314.4332654937
1572883199000,9296.765819084
1572886799000,9293.6973384717
1572890400000,9315.6091096582
1572893999000,9266.9747576079
1572897599000,9268.0421390715
1572901199000,9465.097730388
1572904799000,9426.3534518323
1572908400000,9369.6280811552
1572911999000,9404.3823487136
1572915599000,9374.6367259142
1572919199000,9433.032775233
1572922799000,9448.75506682
1572926400000,9419.3140601782
1572929999000,9381.4204836272
1572933599000,9388.4411112282
1572937199000,9303.2853546236
1572940799000,9231.5449915962
1572944399000,9243.132609767
1572948000000,9291.0445477847
1572951599000,9291.8516720751
1572955198000,9284.5152231822
1572958799000,9302.1970348392
1572962399000,9240.966172071
1572966000000,9341.8310869376
1572969600000,9378.9062766402
1572973199000,9334.0765635033
1572976799000,9342.5515499236
1572980399000,9343.7690431619
1572983999000,9391.2660197161
1572987600000,9355.7996730681
1572991200000,9349.3096634028
1572994799000,9326.5996237841
1572998400000,9316.6718702714
1573001999000,9302.8096876326
1573005598000,9307.9436778173
1573009199000,9303.9207036766
1573012799000,9304.7364460034
1573016399000,9327.6355516823
1573020000000,9334.2632403739
1573023599000,9377.8504993852
1573027199000,9391.1151910739
1573030799000,9405.7891582838
1573034399000,9353.555549882
1573037999000,9355.0759039023
1573041599000,9375.9022606425
1573045200000,9358.1039443838
1573048799000,9321.7695456011
1573052400000,9324.3985493693
1573055999000,9341.6850642963
1573059599000,9318.6623212704
1573063200000,9290.9880039524
1573066799000,9298.2574937146
1573070399000,9290.9239902521
1573073999000,9287.628746156
1573077599000,9314.0060828449
1573081200000,9335.7524023305
1573084799000,9339.1537516328
1573088399000,9342.2920533821
1573091999000,9317.6917761184
1573095599000,9298.8933674812
1573099198000,9296.2339734337
1573102799000,9294.2366680548
1573106400000,9301.8218859851
1573109999000,9279.2477138017
1573113600000,9243.6430757455
1573117200000,9249.1381346724
1573120799000,9226.7052323371
1573124399000,9195.9860908353
1573131599000,9175.5368793805
1573135199000,9198.5656643309
1573138799000,9208.1045601963
1573142400000,9179.7901184054
1573145998000,9192.6287105485
1573149598000,9188.2265840562
1573153199000,9195.2678360774
1573156800000,9192.0827742556
1573160399000,9177.186089275
1573163999000,9212.5833430128
1573167598000,9226.4858208826
1573171199000,9205.6130511464
1573174799000,9195.9713031161
1573178399000,9214.2209464924
1573181999000,9237.0222438358
1573185599000,9238.4924575739
1573189200000,9206.7956839138
1573192800000,9202.8747731637
1573196399000,9176.7417850111
1573200000000,9130.6304580657
1573203598000,9060.4536630437
1573207198000,9040.3137773079
1573210799000,9019.0161295747
1573214399000,9022.2689028327
1573218000000,9004.5534002293
1573221599000,8790.4433165174
1573225198000,8757.194587858
1573228799000,8798.543357948
1573232399000,8746.7774721228
1573236000000,8764.1527295937
1573239599000,8804.6343352049
1573243198000,8789.5350533605
1573246798000,8796.1710793818
1573250399000,8865.5230302322
1573254000000,8794.3586445233
1573257599000,8765.4268916666
1573261199000,8800.6818820113
1573264799000,8790.7555175275
1573268399000,8801.202913592
1573272000000,8822.9080922007
1573275600000,8817.815047453
1573279199000,8829.7133494864
1573282799000,8863.2652540593
1573286400000,8833.381250974
1573289999000,8808.2630400544
