Date,Price
1569193200000,10031.8667089936
1569194099000,10025.8591567255
1569194999000,10048.2128925365
1569195899000,10043.6345141605
1569196799000,10027.4857508306
1569197700000,10030.8725296151
1569198599000,9994.1463932578
1569199499000,9993.9025929272
1569200399000,9977.6209019806
1569201300000,9997.7769565794
1569202200000,9986.7041649421
1569203100000,9963.9492956332
1569203999000,9969.6944966574
1569204900000,9990.4366409307
1569205799000,9974.1572737832
1569206700000,9980.6848522445
1569207600000,9967.6005005856
1569208499000,9883.7232130344
1569209400000,9945.6414441041
1569210299000,9943.7843616032
1569211200000,9951.4051187944
1569212099000,9956.4627320883
1569213000000,9948.3880947117
1569213899000,9960.0091580357
1569214799000,9959.4646545256
1569215699000,9957.0925980632
1569216599000,9946.8244999876
1569217499000,9930.0721022233
1569218399000,9952.521525592
1569219299000,9899.9268243684
1569220200000,9875.4531586024
1569221100000,9897.1729681092
1569222000000,9915.6877024597
1569222900000,9917.2228421096
1569223799000,9918.180136284
1569224700000,9910.2591722525
1569225599000,9905.7905921711
1569226500000,9914.7702537333
1569227400000,9923.478272313
1569228300000,9921.2718950906
1569229200000,9928.1294842249
1569230099000,9953.2894086446
1569231000000,9937.4967461718
1569231899000,9952.1899991236
1569232800000,9946.0347922579
1569233699000,9920.2659665696
1569234599000,9930.6014417027
1569235499000,9925.0802063335
1569236399000,9919.771841731
1569237300000,9929.5757183828
1569238199000,9939.8865921991
1569239099000,9924.9840567703
1569240000000,9913.8317393692
1569240900000,9899.7281038966
1569241800000,9894.3534197921
1569242700000,9903.439521633
1569243599000,9907.4581625159
1569244500000,9907.3936468848
1569245399000,9892.9737999839
1569246300000,9897.6531224525
1569247200000,9893.046792069
1569248099000,9889.7076319105
1569249000000,9838.0916326243
1569249899000,9847.0617776415
1569250800000,9901.4695165678
1569251699000,9887.8802098244
1569252600000,9864.3611821229
1569253499000,9860.6677626793
1569254399000,9859.377089572
1569255299000,9840.1000288819
1569256199000,9828.9937751204
1569257100000,9812.7538641418
1569257999000,9815.7163866843
1569258899000,9826.2090504146
1569259799000,9810.4765332695
1569260699000,9799.4836685843
1569261599000,9802.2630723274
1569262500000,9812.773145594
1569263400000,9810.1762348475
1569264300000,9835.3187254442
1569265200000,9827.1129107767
1569266100000,9816.9694490325
1569267000000,9829.8736421778
1569267900000,9816.8189137568
1569268800000,9801.1846145524
1569269699000,9792.4799855709
1569270600000,9789.1968579233
1569271499000,9792.422781174
1569272400000,9774.5623511719
1569273298000,9741.6878681837
1569274199000,9765.421870928
1569275099000,9718.0263669571
1569275998000,9749.0147087735
1569276899000,9653.3687745919
1569277798000,9662.3032141553
1569278699000,9691.1658488984
1569279598000,9719.7186961077
1569280499000,9717.3573703936
1569281398000,9715.8149665811
1569282299000,9687.3199218542
1569283199000,9690.8044768976
1569284099000,9642.5175803198
1569284999000,9704.1162368495
1569285900000,9701.5557030421
1569286800000,9732.1935385388
1569287700000,9760.2900990465
1569288600000,9744.0802341389
1569289499000,9739.1443860767
1569290400000,9737.9594935472
1569291300000,9743.369239902
1569292200000,9730.5197769784
1569293100000,9720.2965450337
1569293999000,9720.3262776126
1569294900000,9689.5624149292
1569295799000,9703.0569700415
1569296700000,9721.8874525382
1569297599000,9711.3484239326
1569298499000,9686.6897749898
1569299400000,9717.5517331261
1569300299000,9721.0915149186
1569301200000,9720.937063334
1569302099000,9710.5466871145
1569303000000,9733.769823582
1569303899000,9729.8056956917
1569304799000,9754.1172614321
1569305699000,9765.2973986381
1569306599000,9747.2041724637
1569307499000,9742.6020881754
1569308399000,9736.796581261
1569309299000,9747.604435988
1569310199000,9725.7751650445
1569311099000,9727.5019489283
1569311999000,9742.2035237882
1569312900000,9726.1721487828
1569313800000,9715.5145497497
1569314700000,9708.0766981305
1569315599000,9717.1044031038
1569316500000,9696.5510692015
1569317400000,9713.3928168416
1569318300000,9728.0165776831
1569319200000,9734.5882392642
1569320099000,9734.9187753766
1569321000000,9705.9673694315
1569321899000,9718.3981621654
1569322800000,9732.3789814298
1569323699000,9751.0008515604
1569325499000,9710.1606597774
1569326399000,9718.2120859557
1569327300000,9702.7766537616
1569328199000,9680.7586383213
1569329100000,9677.2455883584
1569329999000,9668.8892719453
1569330899000,9646.6818594831
1569331799000,9639.8872243787
1569332699000,9585.6512680715
1569333599000,9622.4345942437
1569334499000,9585.6156946231
1569335400000,9565.394238865
1569336299000,9523.8201002885
