Date,Price
1583456399000,9009.6828065216
1583459999000,9034.4255036968
1583463600000,9073.3979219375
1583467199000,9056.2669571675
1583470800000,9066.5073211252
1583474398000,9121.1896289536
1583477999000,9110.441671599
1583481599000,9110.5864123644
1583485199000,9111.6264994242
1583488799000,9127.3982813028
1583492399000,9163.3104268047
1583495999000,9145.7462830296
1583499600000,9132.038064377
1583503198000,9079.5691617841
1583506799000,9085.8236032807
1583510399000,9037.9929413895
1583513999000,9077.9244284668
1583517600000,9098.4754172892
1583521200000,9087.0711006268
1583524799000,9098.7889202038
1583528399000,9121.2892098516
1583531999000,9136.3284067536
1583535599000,9126.6368222216
1583539199000,9156.2575201151
1583542799000,9148.7053314999
1583546399000,9117.2402700442
1583550000000,9121.433734053
1583553600000,9117.5561825551
1583557199000,9094.0741541443
1583560799000,9094.9592108189
1583564399000,9089.9883239145
1583568000000,9102.7290440223
1583571599000,9122.9367243725
1583575199000,9135.5528800027
1583578799000,9120.5033835137
1583582400000,9112.5675794358
1583585999000,9107.9826855693
1583589599000,9103.2026582001
1583593199000,9124.7020792157
1583596798000,9128.9491505385
1583600399000,9064.3633632313
1583603999000,8937.2807711279
1583607600000,8896.5210526248
1583611199000,8909.1683767609
1583614799000,8897.374016748
1583618399000,8898.5667372198
1583621999000,8925.2134877789
1583625600000,8903.0881891013
1583629199000,8795.672597553
1583632799000,8772.4175923297
1583636399000,8739.9067780147
1583639999000,8760.7295603771
1583643600000,8749.6691776934
1583647198000,8734.6581481073
1583650799000,8738.3607645145
1583654399000,8755.1753450416
1583657999000,8742.1271889151
1583661599000,8727.1644184811
1583665199000,8749.3532903747
1583668798000,8757.8428618593
1583672399000,8690.2716001845
1583675999000,8663.045811851
1583679599000,8581.1959634268
1583683200000,8404.8503625315
1583686799000,8299.1574724364
1583690399000,8327.0762705919
1583693999000,8306.6132984494
1583697599000,8300.6201589193
1583701199000,8271.8935852831
1583704800000,8257.4183296905
1583708399000,8166.3138940249
1583711998000,8042.474627877
1583715599000,8097.1295325038
1583719199000,8089.1353500662
1583722800000,8030.1981332309
1583726400000,8072.3789061421
1583729998000,7867.8197513252
1583733600000,7946.7993546114
1583737199000,7892.3311688028
1583740799000,7908.4988398346
1583744398000,8001.7847595107
1583747999000,7911.9215900007
1583751599000,7902.1652797598
1583755199000,7817.267720186
1583758800000,7895.3374900525
1583762399000,7818.1383951852
1583765999000,7729.1890787756
1583769600000,7766.7036549941
1583773199000,7782.1072654445
1583776798000,7727.3026613835
1583780399000,7748.8608463843
1583783999000,7847.9902795118
1583787600000,7859.6812313399
1583791200000,7824.3543893919
1583794798000,7875.7508752183
1583798399000,7944.8289626975
1583801999000,7937.780533752
1583805600000,7898.8335795039
1583809199000,7862.0419932596
1583812799000,7909.756537343
1583816399000,7936.0694248251
1583819998000,7943.9795142336
1583823599000,7913.0357830346
1583827198000,7893.7802699113
1583830799000,7909.2987174435
1583834399000,7888.2696840675
1583838000000,8036.2654912032
1583841600000,8077.1991620015
1583845199000,8144.7174849695
1583848800000,8065.9076103203
1583852399000,8051.0616420783
1583855999000,7775.312192308
1583859598000,7861.0559424849
1583863198000,7875.5584890415
1583866799000,7877.3491210875
1583870399000,7979.5265153096
1583873999000,7991.9865976523
1583877599000,7966.9416272903
1583881200000,7959.2282742121
1583884800000,7893.5205863325
1583888399000,7945.4433443125
1583891999000,7932.3601216793
1583895599000,7907.2421217465
1583899199000,7921.9874894601
1583902798000,7907.1954349839
1583906399000,7853.8667983597
1583909999000,7829.6072122859
1583913600000,7876.3282880806
1583917200000,7836.8390663646
1583920800000,7835.4215192677
1583924399000,7844.5069720231
1583927998000,7828.9920159727
1583931599000,7849.5780511048
1583935199000,7857.6775624484
1583938800000,7811.8796488605
1583942398000,7798.0145857569
1583945998000,7774.3078254831
1583949599000,7675.2365993627
1583953199000,7810.049819965
1583956800000,7839.4163332474
1583960399000,7858.6762222212
1583964000000,7810.6330872332
1583967599000,7955.3062841815
1583971199000,7935.0681688295
1583974799000,7915.3258610413
1583978399000,7711.041452469
1583981999000,7644.7766678812
1583985598000,7665.3903883533
1583989199000,7620.2714738167
1583992799000,7644.4352205469
1583996400000,7493.3601280243
1584000000000,7384.2537081561
1584003600000,7380.1609821443
1584007198000,7339.6372836783
1584010798000,6179.5880203782
1584014399000,6053.1657699512
1584017999000,6074.5898959685
1584021599000,5995.3813552972
1584025199000,6136.379380713
1584028800000,6154.2922734656
1584032399000,6089.7157908918
1584035999000,6112.8341457272
1584039599000,5995.4995898913
1584043199000,6036.1241585786
1584046799000,5745.8619607892
1584050399000,5796.2380286154
1584053998000,5800.2089048343
1584057599000,4831.6575225412
1584061199000,4664.5043728816
1584064800000,4144.4452993664
1584068399000,4660.1869915432
1584072000000,5375.0273520658
1584075600000,4822.8718227093
1584079200000,4985.0278987503
1584082799000,5233.6615275717
1584086399000,5417.3422219949
1584090000000,5373.1873948962
1584093599000,5745.4225454351
1584097200000,5746.3456837386
1584100799000,5520.9963709836
1584104400000,5627.5224956911
1584107999000,5673.9408379786
1584111600000,5467.6964046672
1584115200000,5264.7450781216
1584118799000,5226.6129236111
1584122399000,5244.2089448373
1584125999000,5054.3335606632
1584129599000,5469.2188363367
1584133199000,5443.2280002821
1584136800000,5572.0534238018
1584140400000,5672.6812010316
1584143999000,5640.1918299897
1584147600000,5515.0608349059
1584151199000,5550.3967019768
1584154799000,5621.2788236796
1584158399000,5623.6079499539
1584162000000,5555.5887071228
1584165600000,5480.4901743374
1584169199000,5475.3312292016
1584172800000,5530.6695560944
